Index,Date,30 Day Count,ACT Day Count,30/360,ACT/360
0,01-09-04,,,,
1,01-12-04,90,91,0.25,0.252777778
2,01-03-05,180,181,0.5,0.502777778
3,01-06-05,270,273,0.75,0.758333333
4,01-09-05,360,365,1,1.013888889
5,01-12-05,450,456,1.25,1.266666667
6,01-03-06,540,546,1.5,1.516666667
7,01-06-06,630,638,1.75,1.772222222
8,01-09-06,720,730,2,2.027777778
9,01-12-06,810,821,2.25,2.280555556
10,01-03-07,900,911,2.5,2.530555556
11,01-06-07,990,1003,2.75,2.786111111
12,04-09-07,1080,1098,3,3.05
13,03-12-07,1170,1188,3.25,3.3
14,03-03-08,1260,1279,3.5,3.552777778
15,02-06-08,1350,1370,3.75,3.805555556
16,02-09-08,1440,1462,4,4.061111111
17,01-12-08,1530,1552,4.25,4.311111111
18,02-03-09,1620,1643,4.5,4.563888889
19,01-06-09,1710,1734,4.75,4.816666667
20,01-09-09,1800,1826,5,5.072222222
21,01-12-09,1890,1917,5.25,5.325
22,01-03-10,1980,2007,5.5,5.575
23,01-06-10,2070,2099,5.75,5.830555556
24,01-09-10,2160,2191,6,6.086111111
25,01-12-10,2250,2282,6.25,6.338888889
26,01-03-11,2340,2372,6.5,6.588888889
27,01-06-11,2430,2464,6.75,6.844444444
28,01-09-11,2520,2556,7,7.1
29,01-12-11,2610,2647,7.25,7.352777778
30,01-03-12,2700,2738,7.5,7.605555556
31,01-06-12,2790,2830,7.75,7.861111111
32,04-09-12,2880,2925,8,8.125
33,03-12-12,2970,3015,8.25,8.375
34,01-03-13,3060,3103,8.5,8.619444444
35,03-06-13,3150,3197,8.75,8.880555556
36,03-09-13,3240,3289,9,9.136111111
37,02-12-13,3330,3379,9.25,9.386111111
38,03-03-14,3420,3470,9.5,9.638888889
39,02-06-14,3510,3561,9.75,9.891666667
40,02-09-14,3600,3653,10,10.14722222
41,01-12-14,3690,3743,10.25,10.39722222
42,02-03-15,3780,3834,10.5,10.65
43,01-06-15,3870,3925,10.75,10.90277778
44,01-09-15,3960,4017,11,11.15833333
45,01-12-15,4050,4108,11.25,11.41111111
46,01-03-16,4140,4199,11.5,11.66388889
47,01-06-16,4230,4291,11.75,11.91944444
48,01-09-16,4320,4383,12,12.175
49,01-12-16,4410,4474,12.25,12.42777778
50,01-03-17,4500,4564,12.5,12.67777778
51,01-06-17,4590,4656,12.75,12.93333333
52,01-09-17,4680,4748,13,13.18888889
53,01-12-17,4770,4839,13.25,13.44166667
54,01-03-18,4860,4929,13.5,13.69166667
55,01-06-18,4950,5021,13.75,13.94722222
56,04-09-18,5040,5116,14,14.21111111
57,03-12-18,5130,5206,14.25,14.46111111
58,01-03-19,5220,5294,14.5,14.70555556
59,03-06-19,5310,5388,14.75,14.96666667
60,03-09-19,5400,5480,15,15.22222222
61,02-12-19,5490,5570,15.25,15.47222222
62,02-03-20,5580,5661,15.5,15.725
63,01-06-20,5670,5752,15.75,15.97777778
64,01-09-20,5760,5844,16,16.23333333
65,01-12-20,5850,5935,16.25,16.48611111
66,01-03-21,5940,6025,16.5,16.73611111
67,01-06-21,6030,6117,16.75,16.99166667
68,01-09-21,6120,6209,17,17.24722222
69,01-12-21,6210,6300,17.25,17.5
70,01-03-22,6300,6390,17.5,17.75
71,01-06-22,6390,6482,17.75,18.00555556
72,01-09-22,6480,6574,18,18.26111111
73,01-12-22,6570,6665,18.25,18.51388889
74,01-03-23,6660,6755,18.5,18.76388889
75,01-06-23,6750,6847,18.75,19.01944444
76,01-09-23,6840,6939,19,19.275
77,01-12-23,6930,7030,19.25,19.52777778
