id_loan,orig_dti,orig_ltv,state,orig_upb,Act_endg_upb,cpn_gap,summer,period_end,prepay,period_begin
F103Q2000021,29,95,NY,69000,0,1.32,0,9,1,0
F103Q2000037,35,78,AZ,114000,105441.88,1.34,1,60,0,0
F103Q2000058,52,75,WI,218000,0,1.17,0,30,1,0
F103Q2000102,13,53,VT,101000,65211.91,1.34,1,60,0,0
F103Q2000186,37,54,MA,95000,86847.58,1.59,1,60,0,0
F103Q2000249,40,87,NH,100000,93187.98,1.59,1,60,0,0
F103Q2000275,21,53,MA,88000,81879.52,1.47,1,60,0,0
F103Q2000276,16,58,MA,69000,0,0.66,1,50,1,0
F103Q2000327,33,80,PA,148000,137275.21,1.22,1,60,0,0
F103Q2000346,38,79,NY,65000,60944.64,1.59,1,60,0,0
F103Q2000358,32,78,MN,89000,0,1.01,0,18,1,0
F103Q2000359,29,76,NH,87000,77836.52,1.59,1,60,0,0
F103Q2000361,19,63,WI,103000,0,1.27,0,29,1,0
F103Q2000402,33,82,FL,114000,98437.59,1.47,1,60,0,0
F103Q2000405,30,95,WI,128000,0,0.67,1,15,1,0
F103Q2000421,22,80,MA,112000,104034.09,1.34,1,60,0,0
F103Q2000441,20,71,MN,130000,120579.68,1.22,1,60,0,0
F103Q2000454,43,78,KS,84000,77854.36,1.47,1,60,0,0
F103Q2000460,37,78,NH,175000,163019.45,1.59,1,60,0,0
F103Q2000472,52,80,WI,144000,0,0.91,0,46,1,0
F103Q2000488,24,80,IA,103000,95228.33,1.09,1,60,0,0
F103Q2000533,18,60,NC,60000,0,0.45,0,42,1,0
F103Q2000550,39,72,MA,125000,0,1.02,0,23,1,0
F103Q2000581,17,70,NH,268000,0,1.4,0,29,1,0
F103Q2000669,28,80,NH,151000,140684.35,1.47,1,60,0,0
F103Q2000753,50,80,TX,186000,0,0.62,0,43,1,0
F103Q2000985,42,75,WI,323000,0,1.37,0,22,1,0
F103Q2001122,37,95,WI,122000,111602.69,1.47,1,60,0,0
F103Q2001128,24,53,KS,104000,0,1.25,0,31,1,0
F103Q2001139,51,80,NH,228000,211136.94,1.09,1,60,0,0
F103Q2001340,24,80,KS,25000,0,1.47,0,28,1,0
F103Q2001435,36,71,TX,323000,298833.3,1.09,1,60,0,0
F103Q2001468,32,59,MI,38000,0,1.14,0,23,1,0
F103Q2001507,48,87,TX,119000,0,1.4,0,29,1,0
F103Q2001840,23,85,MN,78000,71401.59,1.22,1,60,0,0
F103Q2001861,34,80,OH,81000,0,0.73,0,56,1,0
F103Q2001926,17,77,TX,130000,120384.88,1.09,1,60,0,0
F103Q2002044,59,92,WI,128000,116913.18,1.47,1,60,0,0
F103Q2002049,46,75,WI,141000,0,0.63,0,47,1,0
F103Q2002143,23,95,MA,152000,0,0.91,0,17,1,0
F103Q2002289,17,80,WI,187000,174447.77,1.59,1,60,0,0
F103Q2002312,37,79,PA,57000,0,0.86,0,57,1,0
F103Q2002317,36,50,MO,115000,106927.39,1.59,1,60,0,0
F103Q2002528,17,56,MA,100000,93045.3,1.47,1,60,0,0
F103Q2002897,40,40,OH,82000,68979,1.47,1,60,0,0
F103Q2003068,21,62,MI,105000,91922.16,1.34,1,60,0,0
F103Q2003193,19,80,MI,176000,0,0.83,1,25,1,0
F103Q2003273,35,89,TX,113000,0,1.29,1,27,1,0
F103Q2003284,32,95,TX,54000,50310.31,1.47,1,60,0,0
F103Q2003330,31,38,IL,51000,0,0.82,0,32,1,0
F103Q2003349,22,74,OH,120000,109237.37,1.59,1,60,0,0
F103Q2003571,33,70,OH,57000,51561.21,1.47,1,60,0,0
F103Q2003627,14,68,CO,323000,300257.8,1.47,1,60,0,0
F103Q2003677,46,53,OH,66000,61314.26,1.34,1,60,0,0
F103Q2003679,27,80,OH,228000,211813.09,1.34,1,60,0,0
F103Q2003699,28,75,OH,46000,42397.96,1.34,1,60,0,0
F103Q2003713,53,49,VT,87000,72340.53,1.58,1,60,0,0
F103Q2003765,42,70,WI,119000,110912.6,1.34,1,60,0,0
F103Q2003778,40,75,PA,180000,0,1.25,0,11,1,0
F103Q2003922,9,19,MA,89000,0,0.19,0,41,1,0
F103Q2003925,29,79,IA,60000,55561.88,1.09,1,60,0,0
F103Q2004082,47,92,OH,162000,0,0.96,1,25,1,0
F103Q2004094,35,80,CO,89000,0,1.22,0,28,1,0
F103Q2004113,18,49,OH,70000,49539.49,1.34,1,60,0,0
F103Q2004338,30,82,TX,45000,0,0.14,0,45,1,0
F103Q2004443,44,27,MA,155000,0,0.83,0,35,1,0
F103Q2004456,40,45,OH,56000,52012.37,1.47,1,60,0,0
F103Q2004564,20,68,WI,209000,194162.08,1.34,1,60,0,0
F103Q2004637,24,26,OH,250000,232613.92,1.47,1,60,0,0
F103Q2004718,37,75,FL,67000,0,0.87,1,14,1,0
F103Q2004864,52,55,WI,120000,0,0.48,1,38,1,0
F103Q2004887,43,58,MA,300000,278596.22,1.59,1,60,0,0
F103Q2005063,48,66,VT,117000,0,0.84,0,55,1,0
F103Q2005081,54,80,IL,72000,66873.56,1.34,1,60,0,0
F103Q2005108,42,80,FL,64000,59921.34,1.47,1,60,0,0
F103Q2005119,22,80,WI,148000,0,0.47,1,51,1,0
F103Q2005198,17,35,OH,65000,60385.55,1.34,1,60,0,0
F103Q2005250,35,84,WI,159000,148210.07,1.34,1,60,0,0
F103Q2005259,35,80,WI,71000,66163.51,1.59,1,60,0,0
F103Q2005312,28,73,VT,111000,0,0.79,1,15,1,0
F103Q2005351,25,80,IL,115000,98703.23,1.22,1,60,0,0
F103Q2005353,19,53,NH,320000,0,0.63,0,47,1,0
F103Q2005522,28,77,VT,82000,76017.87,1.47,1,60,0,0
F103Q2005554,32,64,TN,72000,66674.69,1.09,1,60,0,0
F103Q2005583,14,75,KY,107000,99047.53,1.47,1,60,0,0
F103Q2005584,34,77,OH,283000,263318.74,1.47,1,60,0,0
F103Q2005632,29,71,OH,53000,49389.73,1.59,1,60,0,0
F103Q2005647,25,72,IL,115000,106605.97,1.22,1,60,0,0
F103Q2005668,49,59,WI,101000,0,0.62,0,43,1,0
F103Q2005679,14,64,OH,105000,90806.92,1.34,1,60,0,0
F103Q2005693,37,80,MN,113000,0,0.63,0,47,1,0
F103Q2005694,30,80,OH,64000,59269.98,1.47,1,60,0,0
F103Q2005695,47,53,MN,322000,299141.39,1.22,1,60,0,0
F103Q2005715,34,80,MI,228000,212175.06,1.34,1,60,0,0
F103Q2005719,40,80,IL,323000,0,0.62,0,43,1,0
F103Q2005724,21,73,IN,201000,186977.86,1.47,1,60,0,0
F103Q2005725,33,68,OH,122000,112451.96,1.34,1,60,0,0
F103Q2005734,35,48,NJ,86000,0,0.87,0,43,1,0
F103Q2005783,13,76,MN,133000,123750.08,1.47,1,60,0,0
F103Q2005799,29,77,PA,150000,139781.66,1.59,1,60,0,0
F103Q2005834,22,78,IL,59000,54980.56,1.59,1,60,0,0
F103Q2005865,37,76,WI,204000,187953.37,1.22,1,60,0,0
F103Q2005866,25,83,WI,95000,0,0.2,0,40,1,0
F103Q2005888,25,74,WI,295000,0,1.28,1,1,1,0
F103Q2005944,29,80,PA,212000,168227.22,1.34,1,60,0,0
F103Q2006055,35,90,TN,133000,123325.25,1.09,1,60,0,0
F103Q2006056,59,79,AR,110000,0,0.42,0,33,1,0
F103Q2006064,43,90,MN,124000,0,0.98,0,10,1,0
F103Q2006105,12,80,OH,162000,142674.21,1.47,1,60,0,0
F103Q2006154,11,65,KY,60000,0,1.27,0,29,1,0
F103Q2006155,41,79,OH,106000,98779.46,1.59,1,60,0,0
F103Q2006160,23,68,OH,129000,119702.67,1.34,1,60,0,0
F103Q2006164,34,69,OH,75000,69030.55,1.22,1,60,0,0
F103Q2006182,32,94,MO,153000,142469.23,1.59,1,60,0,0
F103Q2006205,23,58,MN,125000,114906.38,0.97,1,60,0,0
F103Q2006216,30,91,IL,57000,53096.35,1.22,1,60,0,0
F103Q2006217,34,87,WI,139000,0,0.67,1,15,1,0
F103Q2006228,28,66,MA,112000,0,1.39,0,21,1,0
F103Q2006241,35,65,MA,91000,0,1.29,1,27,1,0
F103Q2006249,37,76,IN,157000,146304.71,1.59,1,60,0,0
F103Q2006255,28,92,NM,107000,99568.14,1.59,1,60,0,0
F103Q2006262,53,71,NY,258000,239137.45,1.22,1,60,0,0
F103Q2006271,24,67,WI,87000,76939.61,1.09,1,60,0,0
F103Q2006281,25,46,VT,90000,70137.2,1.47,1,60,0,0
F103Q2006286,41,57,VT,76000,0,1.14,0,23,1,0
F103Q2006301,31,65,OH,127000,0,1.35,0,10,1,0
F103Q2006303,49,90,MO,207000,0,1.77,0,23,1,0
F103Q2006347,30,69,PA,88000,79600.12,1.59,1,60,0,0
F103Q2006366,32,80,MI,99000,0,1.47,0,28,1,0
F103Q2006377,32,67,FL,118000,0,1.67,0,59,1,0
F103Q2006391,20,90,IL,162000,0,1.18,1,12,1,0
F103Q2006397,32,71,CO,101000,92835.34,1.22,1,60,0,0
F103Q2006400,43,53,WI,82000,0,1.08,1,26,1,0
F103Q2006432,28,59,MA,162000,150258.05,1.22,1,60,0,0
F103Q2006446,28,75,IL,94000,87235.36,1.09,1,60,0,0
F103Q2006476,22,62,CA,260000,222607.53,1.47,1,60,0,0
F103Q2006481,30,90,OK,90000,82456.79,1.34,1,60,0,0
F103Q2006504,40,80,PA,145000,0,0.23,0,54,1,0
F103Q2006516,38,66,MI,134000,101988.67,1.22,1,60,0,0
F103Q2006557,25,49,ME,80000,74094.44,1.72,1,60,0,0
F103Q2006585,32,80,OH,208000,192926.83,1.22,1,60,0,0
F103Q2006601,48,33,OH,39000,35766.45,1.34,1,60,0,0
F103Q2006620,39,68,WI,250000,232147.05,1.34,1,60,0,0
F103Q2006631,31,80,OH,191000,0,1.17,0,30,1,0
F103Q2006636,23,95,IL,105000,0,1.63,1,1,1,0
F103Q2006647,36,78,OH,97000,82424.02,1.59,1,60,0,0
F103Q2006650,30,76,WA,152000,140276.18,1.09,1,60,0,0
F103Q2006778,44,90,OH,65000,60225.82,1.38,1,60,0,0
F103Q2006805,39,85,WI,164000,151808.69,1.09,1,60,0,0
F103Q2006850,22,70,OH,130000,120202.72,1.34,1,60,0,0
F103Q2006860,10,69,IN,127000,117786.81,1.34,1,60,0,0
F103Q2006863,27,63,IL,86000,79529.17,1.44,1,60,0,0
F103Q2006877,19,77,OH,50000,46225.75,0.97,1,60,0,0
F103Q2006878,22,84,IL,95000,88009.16,1.34,1,60,0,0
F103Q2006888,50,80,PA,70000,64758.96,1.47,1,60,0,0
F103Q2006891,39,53,IL,200000,186090.55,1.47,1,60,0,0
F103Q2006894,42,93,MN,221000,205630.29,1.47,1,60,0,0
F103Q2006898,55,80,MN,120000,111383.13,1.34,1,60,0,0
F103Q2006915,49,80,VA,272000,252057.27,1.22,1,60,0,0
F103Q2006938,48,95,MI,62000,57033.8,1.22,1,60,0,0
F103Q2006958,37,49,MO,85000,0,1.26,0,18,1,0
F103Q2006959,38,92,MO,97000,0,1.56,0,19,1,0
F103Q2006961,47,90,OH,73000,0,0.77,0,45,1,0
F103Q2006987,35,80,IN,146000,135188.64,1.34,1,60,0,0
F103Q2006993,23,30,KY,30000,25672.81,1.47,1,60,0,0
F103Q2007005,26,80,MO,220000,0,1.14,0,21,1,0
F103Q2007026,44,80,WI,88000,0,0.97,1,60,1,0
F103Q2007027,46,66,OR,173000,0,0.66,0,17,1,0
F103Q2007028,25,79,OR,124000,114906.04,1.34,1,60,0,0
F103Q2007035,40,80,MN,193000,179054.91,1.34,1,60,0,0
F103Q2007043,40,80,MN,72000,66474.7,1.47,1,60,0,0
F103Q2007048,24,78,NY,147000,136539.84,1.49,1,60,0,0
F103Q2007060,43,71,PA,63000,58733.01,1.59,1,60,0,0
F103Q2007173,18,75,ME,165000,130061.77,1.59,1,60,0,0
F103Q2007176,42,66,ME,83000,0,0.32,0,41,1,0
F103Q2007250,31,79,MD,92000,0,1.44,0,19,1,0
F103Q2007258,33,67,SC,89000,82656.15,1.34,1,60,0,0
F103Q2007268,22,70,RI,189000,175304.04,1.22,1,60,0,0
F103Q2007271,40,80,NJ,104000,96583.7,1.34,1,60,0,0
F103Q2007287,42,71,IL,78000,71243.98,1.09,1,60,0,0
F103Q2007292,15,50,OH,200000,0,0.3,0,52,1,0
F103Q2007298,21,77,MI,91000,84380.1,1.22,1,60,0,0
F103Q2007304,25,79,WI,185000,0,1.66,1,2,1,0
F103Q2007313,21,70,WI,64000,58927.59,1.34,1,60,0,0
F103Q2007323,37,88,IL,93000,86074.03,1.34,1,60,0,0
F103Q2007325,20,80,MI,92000,85147.62,1.22,1,60,0,0
F103Q2007326,24,75,MI,101000,93802.16,1.47,1,60,0,0
F103Q2007347,36,70,IL,99000,0,1.36,0,20,1,0
F103Q2007360,36,80,KS,125000,115529.25,0.97,1,60,0,0
F103Q2007365,14,79,IN,220000,203575.2,1.34,1,60,0,0
F103Q2007372,40,69,PA,144000,133595.46,1.47,1,60,0,0
F103Q2007381,34,60,SC,75000,69630.88,1.29,1,60,0,0
F103Q2007423,42,95,NE,76000,0,0.73,1,38,1,0
F103Q2007425,54,66,KY,110000,0,1.22,1,24,1,0
F103Q2007431,61,69,KS,97000,89742.08,1.34,1,60,0,0
F103Q2007445,22,75,WI,175000,162605.83,1.09,1,60,0,0
F103Q2007474,20,67,HI,240000,219086.39,1.34,1,60,0,0
F103Q2007489,54,80,IL,135000,123958.58,1.34,1,60,0,0
F103Q2007494,30,45,HI,300000,0,1.02,0,29,1,0
F103Q2007495,24,78,PA,145000,0,0.8,0,6,1,0
F103Q2007504,18,63,VT,114000,105117.86,0.97,1,60,0,0
F103Q2007505,45,90,VT,143000,126298.1,1.47,1,60,0,0
F103Q2007508,25,69,MA,224000,208607.75,1.47,1,60,0,0
F103Q2007509,16,27,MA,90000,83995.36,1.72,1,60,0,0
F103Q2007547,29,80,CA,292000,0,0.65,0,16,1,0
F103Q2007554,39,48,IL,323000,0,1.39,1,2,1,0
F103Q2007574,37,79,OH,90000,83120.42,1.47,1,60,0,0
F103Q2007575,18,48,MO,58000,0,0.15,0,16,1,0
F103Q2007582,43,80,UT,137000,0,0.71,1,26,1,0
F103Q2007584,31,93,UT,125000,115357.31,0.84,1,60,0,0
F103Q2007595,25,59,OR,144000,134190.85,1.59,1,60,0,0
F103Q2007596,49,80,OR,56000,52263.93,1.72,1,60,0,0
F103Q2007605,21,80,OH,170000,140793.75,1.84,1,60,0,0
F103Q2007610,32,75,OH,100000,92551.63,1.44,1,60,0,0
F103Q2007633,47,70,MN,168000,153891.12,1.09,1,60,0,0
F103Q2007636,28,74,GA,184000,0,-0.17,0,40,1,0
F103Q2007644,49,74,WI,71000,66322.41,1.48,1,60,0,0
F103Q2007646,43,57,NY,110000,0,0.61,0,34,1,0
F103Q2007666,18,95,MO,74000,0,0.3,0,33,1,0
F103Q2007694,20,80,IN,96000,89184.58,1.34,1,60,0,0
F103Q2007700,26,80,VA,104000,96152,1.34,1,60,0,0
F103Q2007742,28,55,MA,225000,209672.85,1.59,1,60,0,0
F103Q2007769,29,95,WI,54000,50087.55,1.22,1,60,0,0
F103Q2007776,28,58,PA,85000,78319.68,0.72,1,60,0,0
F103Q2007809,35,70,WI,42000,38219.17,1.22,1,60,0,0
F103Q2007838,27,75,IN,86000,80247.73,1.47,1,60,0,0
F103Q2007843,46,73,IN,78000,72686.63,1.59,1,60,0,0
F103Q2007849,18,88,OH,153000,142137.71,1.34,1,60,0,0
F103Q2007892,24,80,MI,82000,76180.27,0.97,1,60,0,0
F103Q2007903,44,73,IL,121000,0,2.09,1,3,1,0
