Date,I25 US Treasury Actives Curve 10Y(T 1 ? 08/15/29 <Govt>) (Mid YTM)
6/30/2019,2.006
5/31/2019,2.1254
4/30/2019,2.5027
3/31/2019,2.4059
2/28/2019,2.7159
1/31/2019,2.6301
12/31/2018,2.6851
11/30/2018,2.9888
10/31/2018,3.1444
9/30/2018,3.0621
8/31/2018,2.8613
7/31/2018,2.9607
6/30/2018,2.8611
5/31/2018,2.8595
4/30/2018,2.954
3/31/2018,2.7398
2/28/2018,2.8624
1/31/2018,2.706
12/31/2017,2.4063
11/30/2017,2.4106
10/31/2017,2.3802
9/30/2017,2.3345
8/31/2017,2.1179
7/31/2017,2.2951
6/30/2017,2.3046
5/31/2017,2.2036
4/30/2017,2.2811
3/31/2017,2.3883
2/28/2017,2.3908
1/31/2017,2.454
12/31/2016,2.4452
11/30/2016,2.3818
10/31/2016,1.8264
9/30/2016,1.5953
8/31/2016,1.5809
7/31/2016,1.4539
6/30/2016,1.4705
5/31/2016,1.8467
4/30/2016,1.8342
3/31/2016,1.7695
2/29/2016,1.7356
1/31/2016,1.9218
12/31/2015,2.2703
11/30/2015,2.2069
10/31/2015,2.143
9/30/2015,2.0376
8/31/2015,2.2188
7/31/2015,2.181
6/30/2015,2.354
5/31/2015,2.1223
4/30/2015,2.0326
3/31/2015,1.924
2/28/2015,1.9939
1/31/2015,1.6415
12/31/2014,2.1721
11/30/2014,2.1649
10/31/2014,2.3362
9/30/2014,2.4897
8/31/2014,2.344
7/31/2014,2.5587
6/30/2014,2.5313
5/31/2014,2.4768
4/30/2014,2.6468
3/31/2014,2.719
2/28/2014,2.6485
1/31/2014,2.6449
12/31/2013,3.0291
11/30/2013,2.7454
10/31/2013,2.5551
9/30/2013,2.6109
8/31/2013,2.7853
7/31/2013,2.5772
6/30/2013,2.4866
5/31/2013,2.1291
4/30/2013,1.6726
3/31/2013,1.8495
2/28/2013,1.8765
1/31/2013,1.9858
12/31/2012,1.7583
11/30/2012,1.616
10/31/2012,1.691
9/30/2012,1.6344
8/31/2012,1.5493
7/31/2012,1.4688
6/30/2012,1.6458
5/31/2012,1.5586
4/30/2012,1.9146
3/31/2012,2.2106
2/29/2012,1.9722
1/31/2012,1.7979
12/31/2011,1.8771
11/30/2011,2.0689
10/31/2011,2.1142
9/30/2011,1.9163
8/31/2011,2.2243
7/31/2011,2.797
6/30/2011,3.1609
5/31/2011,3.0616
4/30/2011,3.2881
3/31/2011,3.4722
2/28/2011,3.429
1/31/2011,3.3724
12/31/2010,3.2954
11/30/2010,2.7986
10/31/2010,2.6011
9/30/2010,2.5116
8/31/2010,2.47
7/31/2010,2.907
6/30/2010,2.9329
5/31/2010,3.2867
4/30/2010,3.6551
3/31/2010,3.8276
2/28/2010,3.6136
1/31/2010,3.5863
12/31/2009,3.8388
11/30/2009,3.1996
10/31/2009,3.3846
9/30/2009,3.3071
8/31/2009,3.3994
7/31/2009,3.4815
6/30/2009,3.5345
5/31/2009,3.4613
4/30/2009,3.1206
3/31/2009,2.6647
